isco_code,anzsco_code,anzsco_title
3413,451899,Personal Service Workers nec
3421,452411,Footballer
3421,452412,Golfer
3421,452413,Jockey
3421,452499,Sportspersons nec
3422,452311,Diving Instructor (Open Water)
3422,452312,Gymnastics Coach or Instructor
3422,452314,Snowsport Instructor
3422,452315,Swimming Coach or Instructor
3422,452316,Tennis Coach
3422,452317,Other Sports Coach or Instructor
3422,452318,Dog and Horse Racing Official
3422,452321,Sports Development Officer
3422,452322,Sports Umpire
3422,452323,Other Sports Official
3423,452111,Fitness Instructor
3423,452211,Bungy Jump Master
3423,452212,Fishing Guide
3423,452213,Hunting Guide
3423,452214,Mountain or Glacier Guide
3423,452215,Outdoor Adventure Instructor
3423,452216,Trekking Guide
3423,452217,Whitewater Rafting Guide
3423,452299,Outdoor Adventure Guides nec
3423,452313,Horse Riding Coach or Instructor
3431,211311,Photographer
3431,399915,Photographer's Assistant
3432,232511,Interior Designer
3432,399912,Interior Decorator
3432,639511,Visual Merchandiser
3433,399311,Gallery or Museum Technician
3433,399312,Library Technician
3434,351311,Chef
3435,211199,"Actors, Dancers and Other Entertainers nec"
3435,212316,Stage Manager
3435,399513,Light Technician
3435,399516,Sound Technician
3435,399599,Performing Arts Technicians nec
3435,451814,Body Artist
3511,313199,ICT Support Technicians nec
3512,313112,ICT Customer Support Officer
3513,313112,ICT Customer Support Officer
3514,313113,Web Administrator
3521,342312,Communications Operator
3521,399511,Broadcast Transmitter Operator
3521,399512,"Camera Operator (Film, Television or Video)"
3521,399516,Sound Technician
3521,399517,Television Equipment Operator
3521,399599,Performing Arts Technicians nec
3521,599912,"Production Assistant (Film, Television, Radio or Stage)"
3521,711912,Motion Picture Projectionist
3522,313211,Radiocommunications Technician
3522,313212,Telecommunications Field Engineer
3522,313213,Telecommunications Network Planner
3522,313214,Telecommunications Technical Officer or Technologist
4110,531111,General Clerk
4110,599213,Court Orderly (Aus) / Court Registry Officer (NZ)
4120,521211,Secretary (General)
4131,532113,Word Processing Operator
4132,532111,Data Entry Operator
4211,552111,Bank Worker
4211,621111,Sales Assistant (General)
4212,431311,Gaming Worker
4212,552311,Bookmaker
4212,561111,Betting Agency Counter Clerk
4212,561112,Bookmaker's Clerk
4212,561113,Telephone Betting Clerk
4212,561199,Betting Clerks nec
4213,621111,Sales Assistant (General)
4214,599311,Debt Collector
4221,451611,Tourist Information Officer
4221,451612,Travel Consultant
4221,639411,Ticket Seller
4222,541112,Call or Contact Centre Operator
4223,561611,Switchboard Operator
4224,542113,Hotel or Motel Receptionist
4225,541211,Information Officer
4226,542111,Receptionist (General)
4226,542114,Medical Receptionist
4227,561511,Survey Interviewer
4229,542112,Admissions Clerk
4229,599914,Radio Despatcher
4311,551111,Accounts Clerk
4311,551112,Cost Clerk
4311,551211,Bookkeeper
4312,552312,Insurance Consultant
4312,552313,Money Market Clerk
4312,552314,Statistical Clerk
4313,551311,Payroll Clerk
4321,591113,Purchasing Officer
4321,591115,Stock Clerk
4321,591116,Warehouse Administrator
4321,591117,Order Clerk
4321,591211,Despatching and Receiving Clerk
4321,712922,Weighbridge Operator
4321,741111,Storeperson
4322,312911,Maintenance Planner
4322,591112,Production Clerk
4323,591211,Despatching and Receiving Clerk
4323,599518,Transport Operations Inspector
4323,599999,Clerical and Administrative Workers nec
4411,599711,Library Assistant
4412,561212,Postal Delivery Officer
4412,561411,Mail Clerk
4412,561412,Postal Sorting Officer
4413,599913,Proof Reader
4413,599999,Clerical and Administrative Workers nec
4414,599999,Clerical and Administrative Workers nec
4415,561311,Filing or Registry Clerk
4416,599411,Human Resource Clerk
4419,561911,Classified Advertising Clerk
4419,561999,Clerical and Office Support Workers nec
4419,599999,Clerical and Administrative Workers nec
5111,451711,Flight Attendant
5111,451799,Travel Attendants nec
5112,639412,Transport Conductor
5113,451411,Gallery or Museum Guide
5113,451412,Tour Guide
5120,351411,Cook
5131,431211,Cafe Worker
5131,431511,Waiter
5132,431111,Bar Attendant
5132,431112,Barista
5141,391111,Hairdresser
5142,399514,Make Up Artist
5142,451111,Beauty Therapist
5142,451512,Weight Loss Consultant
5142,451812,Hair or Beauty Salon Assistant
5142,621111,Sales Assistant (General)
5151,431411,Hotel Service Manager
5151,811211,Commercial Cleaner
5151,811411,Commercial Housekeeper
5152,141911,Bed and Breakfast Operator
5152,451899,Personal Service Workers nec
