soc_code,soc_title,aioe,isco_code,isco_title,isco_count,aioe_weighted
23-2091,Court Reporters,0.9032798,3343,Administrative and executive secretaries,1.0,0.9032798
23-2093,"Title Examiners, Abstractors, and Searchers",1.384156,3411,Legal and related associate professionals,1.0,1.384156
25-1011,"Business Teachers, Postsecondary",1.618228,2310,University and higher education teachers,1.0,1.618228
25-1021,"Computer Science Teachers, Postsecondary",1.390422,2310,University and higher education teachers,1.0,1.390422
25-1022,"Mathematical Science Teachers, Postsecondary",1.406917,2310,University and higher education teachers,1.0,1.406917
25-1031,"Architecture Teachers, Postsecondary",1.246342,2310,University and higher education teachers,1.0,1.246342
25-1032,"Engineering Teachers, Postsecondary",1.337249,2310,University and higher education teachers,1.0,1.337249
25-1041,"Agricultural Sciences Teachers, Postsecondary",1.15419,2310,University and higher education teachers,1.0,1.15419
25-1042,"Biological Science Teachers, Postsecondary",1.492517,2310,University and higher education teachers,1.0,1.492517
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1.562946,2310,University and higher education teachers,1.0,1.562946
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1.521884,2310,University and higher education teachers,1.0,1.521884
25-1052,"Chemistry Teachers, Postsecondary",1.449933,2310,University and higher education teachers,1.0,1.449933
25-1053,"Environmental Science Teachers, Postsecondary",1.603297,2310,University and higher education teachers,1.0,1.603297
25-1054,"Physics Teachers, Postsecondary",1.240154,2310,University and higher education teachers,1.0,1.240154
25-1061,"Anthropology and Archeology Teachers, Postsecondary",1.534275,2310,University and higher education teachers,1.0,1.534275
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1.66876,2310,University and higher education teachers,1.0,1.66876
25-1063,"Economics Teachers, Postsecondary",1.46189,2310,University and higher education teachers,1.0,1.46189
25-1064,"Geography Teachers, Postsecondary",1.628536,2310,University and higher education teachers,1.0,1.628536
25-1065,"Political Science Teachers, Postsecondary",1.769565,2310,University and higher education teachers,1.0,1.769565
25-1066,"Psychology Teachers, Postsecondary",1.716472,2310,University and higher education teachers,1.0,1.716472
25-1067,"Sociology Teachers, Postsecondary",1.770457,2310,University and higher education teachers,1.0,1.770457
25-1071,"Health Specialties Teachers, Postsecondary",1.225631,2310,University and higher education teachers,1.0,1.225631
